附表2-1-4省(自治区、直辖市)选用水文监测站,,,,,,,,,,,,,,,,,
测站(井)名称,代码,所在,,,集水面积(km2),监测项目*1,地址(县、乡、村),地理座标,,,,,,主管机构,备注*2,,
,,水资源三级区,地级行政区,河流,,,,东经,,,北纬,,,,,,
,,,,,,,,。,′,″,。,′,″,,,,
德都,11200320,尼尔基至江桥,黑河市,讷谟尔河,7200,水位、流量、降水,五大连池市青山镇,126,12,29,48,31,17,黑龙江省水文局,,A,
二龙山,11220610,尼尔基至江桥,黑河市,讷谟尔河,,降水,黑龙江省德都县二龙山农场,126,36,17,48,30,31,黑龙江省气象局,,A,
凤凰山,11220620,尼尔基至江桥,黑河市,讷谟尔河,,降水,黑龙江省北安市凤凰山农场,126,25,00,48,25,00,黑龙江省气象局,,A,
九三,11220690,尼尔基至江桥,黑河市,老莱河,,降水,黑龙江省嫩江县九三农场,125,17,17,48,52,50,黑龙江省气象局,,A,
龙河,11220700,尼尔基至江桥,黑河市,讷谟尔河,,降水,黑龙江省讷河县龙河镇,125,25,15,48,33,05,黑龙江省水文局,,A,
龙镇,11220600,尼尔基至江桥,黑河市,讷谟尔河,,降水,黑龙江省德都县龙镇农场,126,42,09,48,41,44,黑龙江省气象局,,A,
木沟河,11220560,尼尔基至江桥,黑河市,讷谟尔河,,降水,黑龙江省北安市沾河林业局,127,16,33,48,24,19,黑龙江省水文局,,A,
南北河,11220550,尼尔基至江桥,黑河市,讷谟尔河,,降水,黑龙江省北安市通北林业局,127,23,04,48,15,06,黑龙江省水文局,,A,
讷河,11220720,尼尔基至江桥,齐齐哈尔市,讷谟尔河,,降水,黑龙江省讷河县讷河镇,124,52,10,48,28,12,黑龙江省水文局,,A,
土泥浅,11220680,尼尔基至江桥,黑河市,讷谟尔河,,降水,黑龙江省德都县团结乡,125,56,16,48,31,21,黑龙江省水文局,,A,
尾山,11220650,尼尔基至江桥,黑河市,讷谟尔河,,降水,黑龙江省德都县尾山农场,126,17,39,48,51,40,黑龙江省气象局,,A,
五大连池,11220660,尼尔基至江桥,黑河市,讷谟尔河,,降水,黑龙江省五大连池市,126,14,27,48,43,19,黑龙江省气象局,,A,
得力其尔,11220780,尼尔基至江桥,呼伦贝尔市,格尼河,,降水,阿荣旗得力其尔乡得力其尔村,123,35,,48,42,,内蒙古水文总局,,A,
格尼(二),11200410,尼尔基至江桥,呼伦贝尔市,格尼河,3936,水位、径流、降水、蒸发,阿荣旗亚东镇,123,48,,48,30,,内蒙古水文总局,,A,
托河,11220730,尼尔基至江桥,呼伦贝尔市,诺敏河,,降水,鄂伦春自治旗托扎敏乡,123,5,,50,9,,内蒙古水文总局,,A,
小二沟,11200370,尼尔基至江桥,呼伦贝尔市,诺敏河,16761,水位、径流、降水、蒸发,鄂伦春自治旗诺敏镇,123,43,,49,12,,内蒙古水文总局,,A,
古城子(二),11200391,尼尔基至江桥,齐齐哈尔市,诺敏河,25292,水位、流量、降水,甘南县查哈阳乡灯塔村,124,15,33,48,31,55,黑龙江省水文局,,A,
太平湖水库(坝下),11200441,尼尔基至江桥,齐齐哈尔市,黄蒿河,704,水位、流量、降水、蒸发,甘南县太平湖水库,124,03,45,48,17,30,黑龙江省水文局,太平湖水库,A,
同盟(二),11200091,尼尔基至江桥,齐齐哈尔市,嫩江,108029,水位、流量、降水、蒸发,甘南县东阳镇沿江村,124,22,20,48,04,00,黑龙江省水文局,,A,
图布新,11220880,尼尔基至江桥,呼伦贝尔市,黄蒿沟,,降水,阿荣旗孤山镇,123,47,,48,20,,内蒙古水文总局,,A,
那吉,11300020,尼尔基至江桥,呼伦贝尔市,阿伦河,4171,水位、径流、降水、蒸发,阿荣旗那吉镇章塔尔屯,123,28,,48,6,,内蒙古水文总局,,A,
阿城,11000230,尼尔基至江桥,哈尔滨市,阿什河,2313,水位、流量、降水,阿城市阿什河乡城郊村,127,01,01,45,33,10,黑龙江省水文局,,A,
八里川,11020940,尼尔基至江桥,哈尔滨市,阿什河,,降水,黑龙江省阿城市平安乡,127,28,00,45,27,00,黑龙江省水文局,,A,
帽儿山,11020970,尼尔基至江桥,哈尔滨市,阿什河,,降水,黑龙江省阿城市帽儿山乡,127,30,00,45,16,00,黑龙江省水文局,,A,
