附表2-1-4省(自治区、直辖市)选用水文监测站,,,,,,,,,,,,,,,,,
测站(井)名称,代码,所在,,,集水面积(km2),监测项目*1,地址(县、乡、村),地理座标,,,,,,主管机构,备注*2,,
,,水资源三级区,地级行政区,河流,,,,东经,,,北纬,,,,,,
,,,,,,,,。,′,″,。,′,″,,,,
陈麻井,40563300,清水河、苦水河,吴忠,,,地下水,中宁县长山头农场陈麻井,105,42,56,37,15,37,宁夏回族自治区水利厅,,d,
花豹湾,40563310,清水河、苦水河,吴忠,,,地下水,中宁县长山头花豹湾村,105,40,37,37,16,57,宁夏回族自治区水利厅,,d,
磴口(二),40510200,黄河以北引黄灌区,巴彦淖尔盟,黄河,,水位径流泥沙,阿拉善左旗巴音木仁乡磴口村,106,44,,39,56,,内蒙古黄河工程管理局,,d,
巴彦高勒(闸上),40510450,黄河以北引黄灌区,巴彦淖尔盟,"""",,水位,磴口县巴彦高勒镇拦河闸上,107,02,,40,19,,内蒙古黄河工程管理局,,d,
巴彦高勒(沈),40510300,黄河以北引黄灌区,巴彦淖尔盟,沈乌干渠,312849,水位径流泥沙,磴口县粮合乡,107,01,,40,17,,内蒙古黄河工程管理局,,d,
巴彦高勒(南),40510400,黄河以北引黄灌区,巴彦淖尔盟,南干渠,313799,水位径流泥沙,杭锦旗建设乡山湾村,107,02,,40,17,,内蒙古黄河工程管理局,,d,
巴彦高勒(总三),40510500,黄河以北引黄灌区,巴彦淖尔盟,总干渠,,水位径流泥沙,磴口县粮合乡南套子村,107,02,,40,19,,内蒙古黄河工程管理局,,d,
永济渠(泄四),40511000,黄河以北引黄灌区,巴彦淖尔盟,泄水渠,,水位径流,临河市团结乡二闸管理所,107,16,,40,,,巴盟河套灌溉管理总局,,d,
丰复渠(泄),40511300,黄河以北引黄灌区,巴彦淖尔盟,"""",,水位径流,五原县民族乡天吉太桥村,107,41,,40,52,,巴盟河套灌溉管理总局,,d,
四闸(泄二),40511900,黄河以北引黄灌区,巴彦淖尔盟,"""",786,水位径流,五原县白银刀亥乡四闸管理所,108,09,,40,55,,巴盟河套灌溉管理总局,,d,
海流图,40512500,阴山南麓,巴彦淖尔盟,海流图河,493,水位径流,乌拉特中旗国营牧场五分场,108,34,,41,26,,巴盟河套灌溉管理总局,,d,
二牛湾(摩),40512600,阴山南麓,巴彦淖尔盟,摩楞河,168,水位径流,乌拉特中旗石哈河乡下公乌素村,109,08,,41,30,,巴盟河套灌溉管理总局,,d,
二牛湾(羊),40512700,阴山南麓,巴彦淖尔盟,羊场沟,,水位径流,乌拉特中旗石哈河乡下公乌素村,109,10,,41,30,,巴盟河套灌溉管理总局,,d,
广生隆,40512800,阴山南麓,巴彦淖尔盟,乌苏图勒河,,水位径流,乌拉特前旗小佘太乡广生隆村,109,37,,41,12,,巴盟河套灌溉管理总局,,d,
大佘太水库(入库),40512900,阴山南麓,巴彦淖尔盟,"""",836,水位径流,乌拉特前旗大佘太乡大佘太水库,109,12,,41,05,,巴盟河套灌溉管理总局,大佘太水库,d,
沙盖补隆(七),40512410,阴山南麓,巴彦淖尔盟,总排干主渠,1837,径流泥沙,乌拉特前旗树林子乡红圪卜村,109,12,,41,05,,巴盟河套灌溉管理总局,,d,
沙盖补隆(主),40512420,阴山南麓,巴彦淖尔盟,总排干主渠,,水位径流泥沙,乌拉特前旗树林子乡红圪卜村,109,12,,41,05,,巴盟河套灌溉管理总局,,d,
沙盖补隆(支),40512430,阴山南麓,巴彦淖尔盟,总排干支渠,,水位径流泥沙,乌拉特前旗树林子乡红圪卜村,109,12,,41,05,,巴盟河套灌溉管理总局,,d,
西山嘴(乌),40513100,阴山南麓,巴彦淖尔盟,乌粱素海,,水位,乌拉特前旗西山嘴镇乌毛鸡村,108,42,,40,47,,巴盟河套灌溉管理总局,,d,
西山嘴(退三),40513200,阴山南麓,巴彦淖尔盟,乌梁素海(退水渠),554,水位径流泥沙,乌拉特前旗西山嘴镇,108,40,,40,43,,巴盟河套灌溉管理总局,,d,
金门,40513250,阴山南麓,巴彦淖尔盟,迪格努勒高勒,1036,水位径流,乌拉特后旗乌盖苏木金门村,107,27,,41,39,,巴盟河套灌溉管理总局,,d,
图格日格,40513300,石嘴山至河口镇南岸,鄂尔多斯市,毛不浪沟,,水位径流泥沙,杭锦旗图格日格苏木,108,52,,40,18,,内蒙古水文总局,,d,
龙头拐(四),40513600,石嘴山至河口镇南岸,鄂尔多斯市,西柳沟,1157,水位径流泥沙,达拉特旗展旦召苏木王马驹圪卜村,109,46,,40,21,,内蒙古水文总局,,d,
阿塔山(四),40514100,阴山南麓,包头市,昆都仑河,880,水位径流泥沙,固阳县城关镇阿塔山村,110,03,,41,04,,内蒙古水文总局,,d,
塔尔湾(二),40514300,阴山南麓,包头市,昆都仑河,2282,水位径流,包头市郊区新城乡塔尔湾村,109,49,,40,49,,内蒙古水文总局,,d,
昆都仑水库(坝上),40514400,阴山南麓,包头市,昆都仑河,2581,水位,包头市郊区昆都仑水库,109,48,,40,46,,包头市城建局,昆都仑水库,d,
昆都仑水库(输水管),40514401,阴山南麓,包头市,昆都仑河,2581,水位径流,包头市郊区昆都仑水库,109,48,,40,46,,内蒙古水文总局,昆都仑水库,d,
昆都仑水库(渗漏),40514402,阴山南麓,包头市,昆都仑河,2581,径流,包头市郊区昆都仑水库,109,48,,40,46,,,昆都仑水库,d,
昆都仑水库(泄洪洞),40514403,阴山南麓,包头市,昆都仑河,2581,水位径流,包头市郊区昆都仑水库,109,48,,40,46,,,昆都仑水库,d,
昆都仑水库(总出库),40514404,阴山南麓,包头市,昆都仑河,2581,径流,包头市郊区昆都仑水库,109,48,,40,46,,"""",昆都仑水库,d,
红塔沟,40515100,石嘴山至河口镇南岸,鄂尔多斯市,罕台川,603,水位径流泥沙,达拉特旗青达门乡红塔沟村,109,54,,40,09,,内蒙古水文总局,,d,
响沙湾,,石嘴山至河口镇南岸,,,826,水位径流泥沙,达拉特旗树林召乡瓦窑村,109,57,,40,14,,内蒙古水文总局,99年红塔沟下迁,d,
石拐(二),40515400,内蒙黄河以北引黄灌区,包头市,五当沟,779,水位径流,包头市石拐矿区圪亥图村,110,15,,40,40,,内蒙古水文总局,,d,
东园(四),40515500,内蒙黄河以北引黄灌区,包头市,"""",886,水位径流泥沙,包头市郊区东园乡东园村,110,17,,40,35,,内蒙古水文总局,,d,
旗下营(三),40515900,大黑河,乌兰察布盟,大黑河,2914,水位径流泥沙,卓资县旗下营乡厂合少村,112,07,,40,58,,内蒙古水文总局,,d,
美岱(大二),40516200,大黑河,呼和浩特市,"""",4287,水位径流泥沙,呼和浩特市郊区太平庄乡美岱村,111,58,,40,48,,内蒙古水文总局,,d,
美岱(乾三),40516100,大黑河,呼和浩特市,乾通渠,4287,水位径流泥沙,呼和浩特市郊区太平庄乡美岱村,111,58,,40,48,,内蒙古水文总局,,d,
三两(三),40516300,大黑河,呼和浩特市,大黑河,6835,水位径流泥沙,土默特左旗三两乡三两村,111,22,,40,36,,内蒙古水文总局,,d,
二十家,40516600,大黑河,呼和浩特市,大榆树沟,717,水位径流泥沙,呼和浩特市郊区黄合少乡二十家村,112,01,,40,47,,内蒙古水文总局,,d,
哈拉沁(二),40516700,大黑河,呼和浩特市,哈拉沁沟,706,水位径流泥沙,呼和浩特市壕沁营乡哈拉沁村,111,43,,40,55,,内蒙古水文总局,,d,
西二道河,40517000,大黑河,呼和浩特市,小黑河,1776,水位径流泥沙,呼和浩特市小黑河乡西二道河村,111,36,,40,45,,内蒙古水文总局,,d,
店上村(三),40517100,大黑河,呼和浩特市,水磨沟,1333,水位径流泥沙,土默特左旗青山乡店上村,111,19,,40,49,,内蒙古水文总局,,d,
红砂坝(二),40517800,内蒙黄河以北引黄灌区,包头市,水涧沟,377,水位径流泥沙,土默特右旗耳沁尧乡红砂坝村,110,30,,40,40,,内蒙古水文总局,,d,
官地,40518000,阴山南麓,包头市,美岱沟,560,水位径流,固阳县下湿壕乡官地村,110,39,,40,50,,内蒙古水文总局,,d,
大脑包(四),40518100,内蒙黄河以北引黄灌区,包头市,美岱沟,891,水位径流泥沙,土默特右旗美岱召乡大脑包村,110,43,,40,37,,内蒙古水文总局,,d,
古城,40518600,大黑河,呼和浩特市,万家沟,857,水位径流泥沙,土默特左旗把什乡沙庆村,111,03,,40,44,,内蒙古水文总局,,d,
磴口,40540200,内蒙黄河以北引黄灌区,阿拉善盟,黄河,,降水,阿拉善左旗巴音木仁苏木磴口村,106,44,,39,56,,内蒙古水文总局,,d,
解放闸,40540500,内蒙黄河以北引黄灌区,巴彦淖尔盟,总干渠,,降水,磴口县补隆淖乡小滩子村,107,06,,40,31,,内蒙古水文总局,,d,
兴顺西,40543200,阴山南麓,包头市,乌苏图勒河,,降水,固阳县兴顺西乡兴顺西村,109,59,,41,06,,内蒙古水文总局,,d,
范家圪堵,40543450,阴山南麓,巴彦淖尔盟,〃,,降水,乌拉特前旗小佘太乡范家圪塔村,109,38,,41,08,,内蒙古水文总局,,d,
十二分子,40544100,阴山南麓,巴彦淖尔盟,黑水壕,,降水,乌拉特前旗明安乡十二分子村,109,23,,40,55,,内蒙古水文总局,,d,
哈拉汉图壕,40545100,石嘴山至河口镇南岸,鄂尔多斯市,黑赖沟,,降水,达拉特旗呼斯梁乡哈拉汉图壕村,109,21,,40,01,,内蒙古水文总局,,d,
哈业胡同,40545350,内蒙黄河以北引黄灌区,包头市,三湖河,,降水,包头市郊区哈业胡同乡哈业胡同村,109,29,,40,38,,内蒙古水文总局,,d,
哈德门沟,40545800,内蒙黄河以北引黄灌区,包头市,哈德门沟,,降水,包头市郊区哈业脑包乡哈德门沟村,109,38,,40,41,,内蒙古水文总局,,d,
柴登壕,40546000,石嘴山至河口镇南岸,鄂尔多斯市,西柳沟,,降水,东胜市柴登壕乡柴登壕村,109,33,,39,53,,内蒙古水文总局,,d,
高头窑,40546050,石嘴山至河口镇南岸,鄂尔多斯市,〃,,降水,达拉特旗高头窑乡高头窑村,109,37,,40,03,,内蒙古水文总局,,d,
龙头拐,40546150,石嘴山至河口镇南岸,鄂尔多斯市,西柳沟,,降水,达拉特旗展旦召苏木王马驹圪卜村,109,46,,40,21,,内蒙古水文总局,,d,
高家村,40546200,阴山南麓,包头市,昆都仑河,,降水,固阳县大庙乡高家村,110,31,,41,02,,内蒙古水文总局,,d,
柳卜沟,40546300,阴山南麓,包头市,〃,,降水,固阳县银号乡柳卜沟村,110,24,,41,01,,内蒙古水文总局,,d,
大庙,40546350,阴山南麓,包头市,〃,,降水,固阳县大庙乡大庙村,110,31,,41,05,,内蒙古水文总局,,d,
石家碾房,40546400,阴山南麓,包头市,〃,,降水,固阳县银号乡石家碾房村,110,22,,41,05,,内蒙古水文总局,,d,
北五塔,40546500,阴山南麓,包头市,〃,,降水,固阳县银号乡北五塔村,110,20,,41,12,,内蒙古水文总局,,d,
沙坝子,40546550,阴山南麓,包头市,〃,,降水,固阳县银号乡沙坝子村,110,15,,41,06,,内蒙古水文总局,,d,
城圐圙,40546600,阴山南麓,包头市,〃,,降水,固阳县白灵淖乡城kulue村,110,09,,41,12,,内蒙古水文总局,,d,
阿塔山,40546700,阴山南麓,包头市,〃,,降水蒸发,固阳县城关乡阿塔山村,110,03,,41,04,,内蒙古水文总局,,d,
补拉河,40546750,阴山南麓,包头市,〃,,降水,固阳县东胜永乡补拉河村,110,12,,41,02,,内蒙古水文总局,,d,
西永兴,40546800,阴山南麓,包头市,〃,,降水,固阳县九分子乡西永兴村,109,57,,41,05,,内蒙古水文总局,,d,
公义明,40546900,阴山南麓,包头市,〃,,降水,固阳县公义明乡公义明村,109,58,,40,59,,内蒙古水文总局,,d,
小川口,40547000,阴山南麓,包头市,〃,,降水,固阳县公义明乡小川口村,110,06,,40,57,,内蒙古水文总局,,d,
大榆树,40547100,阴山南麓,包头市,〃,,降水,固阳县忽鸡沟乡大榆树村,109,58,,40,54,,内蒙古水文总局,,d,
榆树塔,40547150,阴山南麓,巴彦淖尔盟,〃,,降水,乌拉特前旗朝阳乡榆树塔村,109,52,,40,55,,内蒙古水文总局,,d,
东官牛犋,40547250,阴山南麓,巴彦淖尔盟,〃,,降水,乌拉特前旗朝阳乡东官牛犋村,109,44,,40,58,,内蒙古水文总局,,d,
康存五分子,40547300,阴山南麓,巴彦淖尔盟,〃,,降水,乌拉特前旗明安乡康存五分子村,109,40,,40,53,,内蒙古水文总局,,d,
塔尔湾,40547400,阴山南麓,包头市,〃,,降水,包头市郊区新城乡塔尔湾村,109,49,,40,49,,内蒙古水文总局,,d,
阿路包头,40547500,阴山南麓,包头市,〃,,降水,固阳县忽鸡沟乡阿路包头村,110,04,,40,51,,内蒙古水文总局,,d,
七号,40547600,阴山南麓,包头市,〃,,降水,固阳县忽鸡沟乡七号村,109,58,,40,49,,内蒙古水文总局,,d,
昆都仑水库,40547650,阴山南麓,包头市,〃,,降水蒸发,包头市郊区新城乡昆都仑水库,109,48,,40,46,,内蒙古水文总局,昆都仑水库,d,
罕台庙,40548000,石嘴山至河口镇南岸,鄂尔多斯市,罕台川,,降水,东胜市罕台庙乡罕台庙村,109,49,,39,50,,内蒙古水文总局,,d,
青达门,40548050,石嘴山至河口镇南岸,鄂尔多斯市,〃,,降水,达拉特旗青达门乡青达门村,109,49,,40,01,,内蒙古水文总局,,d,
红塔沟,40548150,石嘴山至河口镇南岸,鄂尔多斯市,〃,,降水,达拉特旗青达门乡红塔沟村,109,54,,40,09,,内蒙古水文总局,,d,
耳字壕,40548200,石嘴山至河口镇南岸,鄂尔多斯市,〃,,降水,达拉特旗耳字壕乡耳字壕村,110,01,,39,59,,内蒙古水文总局,,d,
新建,40549000,阴山南麓,包头市,五当沟,,降水,固阳县新建乡新建村,110,23,,40,55,,内蒙古水文总局,,d,
厂汉门洞,40549050,阴山南麓,包头市,〃,,降水,固阳县忽鸡沟乡厂汉门洞村,110,12,,40,52,,内蒙古水文总局,,d,
后坝,40549150,内蒙黄河以北引黄灌区,包头市,〃,,降水,包头市郊区国庆乡后坝村,110,10,,40,42,,内蒙古水文总局,,d,
毛忽洞,40549250,内蒙黄河以北引黄灌区,包头市,〃,,降水,包头市郊区国庆乡毛忽洞村,110,19,,40,44,,内蒙古水文总局,,d,
东园,40549350,内蒙黄河以北引黄灌区,包头市,〃,,降水蒸发,包头市郊区东园乡东园村,110,17,,40,35,,内蒙古水文总局,,d,
石拐,40549300,内蒙黄河以北引黄灌区,包头市,〃,,降水,包头市石拐矿区圪亥图村,110,15,,40,40,,内蒙古水文总局,,d,
后房子,40550500,大黑河,乌兰察布盟,〃,,降水,卓资县后房子乡后房子村,112,34,,40,45,,内蒙古水文总局,,d,
什字,40550800,大黑河,乌兰察布盟,〃,,降水,卓资县白银厂汉乡什字村,112,35,,41,00,,内蒙古水文总局,,d,
三股地,40551100,大黑河,乌兰察布盟,〃,,降水,卓资县保安乡三股地村,112,23,,40,53,,内蒙古水文总局,,d,
七苏木,40551250,大黑河,乌兰察布盟,〃,,降水,察哈尔右翼中旗七苏木乡七苏木村,112,28,,41,13,,内蒙古水文总局,,d,
乌兰哈页,40551300,大黑河,乌兰察布盟,〃,,降水,察哈尔右翼中旗乌兰哈页乡乌兰哈页村,112,23,,41,11,,内蒙古水文总局,,d,
东河子,40551600,大黑河,乌兰察布盟,〃,,降水,卓资县东河子乡东河子村,112,07,,41,10,,内蒙古水文总局,,d,
拐角铺,40551700,大黑河,乌兰察布盟,〃,,降水,卓资县复兴乡拐角铺村,112,15,,41,03,,内蒙古水文总局,,d,
旗下营,40551900,大黑河,乌兰察布盟,〃,,降水蒸发,卓资县旗下营乡厂合少村,112,07,,40,58,,内蒙古水文总局,,d,
白银加拉格,40551950,大黑河,乌兰察布盟,〃,,降水,卓资县红召乡白银加拉格村,111,57,,41,09,,内蒙古水文总局,,d,
厂汉脑包,40552000,大黑河,乌兰察布盟,〃,,降水,卓资县红召乡厂汉脑包村,112,00,,41,05,,内蒙古水文总局,,d,
大榆树,40552100,大黑河,呼和浩特市,〃,,降水,卓资县大榆树乡大榆树村,112,22,,40,46,,内蒙古水文总局,,d,
沙呼子,40552200,大黑河,呼和浩特市,〃,,降水,凉城县东十号乡沙呼子村,112,21,,40,36,,内蒙古水文总局,,d,
崞县窑,40552250,大黑河,呼和浩特市,〃,,降水,凉城县崞县窑乡崞县窑村,112,11,,40,42,,内蒙古水文总局,,d,
美岱,40552500,大黑河,呼和浩特市,大黑河,,降水,呼和浩特市郊区太平庄乡美岱村,111,58,,40,48,,内蒙古水文总局,,d,
哈乐,40553000,大黑河,呼和浩特市,哈拉沁沟,,降水,武川县哈乐乡西湾子村,111,40,,41,13,,内蒙古水文总局,,d,
大兰旗,40553300,大黑河,呼和浩特市,〃,,降水,武川县大兰旗乡大兰旗村,111,44,,41,09,,内蒙古水文总局,,d,
哈拉沁,40553600,大黑河,呼和浩特市,〃,,降水,呼和浩特市郊区壕庆营乡哈拉沁村,111,43,,40,55,,内蒙古水文总局,,d,
三两,40554400,大黑河,呼和浩特市,大黑河,,降水,土默特左旗三两乡三两村,111,22,,40,36,,内蒙古水文总局,,d,
上秃亥,40554500,大黑河,呼和浩特市,水磨沟,,降水,武川县上秃亥乡上秃亥村,111,18,,41,11,,内蒙古水文总局,,d,
小碱滩,40554800,大黑河,呼和浩特市,〃,,降水,武川县蘑菇窑乡小碱滩村,111,19,,41,02,,内蒙古水文总局,,d,
酒馆,40555050,大黑河,呼和浩特市,〃,,降水,武川县纳令沟乡酒馆村,111,09,,41,00,,内蒙古水文总局,,d,
店上村,40555200,大黑河,呼和浩特市,〃,,降水蒸发,土默特左旗青山乡店上村,111,19,,40,49,,内蒙古水文总局,,d,
抗板申,40556100,大黑河,呼和浩特市,什拉乌素河,,降水,和林格尔县黑老夭乡抗板申村,112,09,,40,23,,内蒙古水文总局,,d,
黑老夭,40556150,大黑河,呼和浩特市,〃,,降水,和林格尔县黑老夭乡黑老夭村,112,05,,40,26,,内蒙古水文总局,,d,
陈梨夭,40556500,大黑河,呼和浩特市,〃,,降水蒸发,和林格尔县灯笼素乡中廿家村,112,00,,40,32,,内蒙古水文总局,,d,
绍卜亥,40557600,阴山南麓,包头市,水涧沟,,降水,固阳县吉忽伦图乡绍卜亥村,110,27,,40,49,,内蒙古水文总局,,d,
耳沁尧,40557650,阴山南麓,包头市,〃,,降水,土默特右旗耳沁尧乡耳沁尧村,110,32,,40,45,,内蒙古水文总局,,d,
红砂坝,40557750,阴山南麓,包头市,〃,,降水,土默特右旗耳沁尧乡红砂坝村,110,30,,40,40,,内蒙古水文总局,,d,
大面沟,40557950,阴山南麓,呼和浩特市,美岱沟,,降水,武川县哈拉门独乡大面沟村,110,46,,41,02,,内蒙古水文总局,,d,
电报局,40558100,阴山南麓,包头市,〃,,降水,固阳县下湿壕乡电报局村,110,30,,40,56,,内蒙古水文总局,,d,
大脑包,40558350,阴山南麓,包头市,〃,,降水,固阳县美岱召乡大脑包村,110,43,,40,37,,内蒙古水文总局,,d,
一前晌,40558400,阴山南麓,呼和浩特市,白石头沟,,降水,土默特左旗青山乡一前晌村,110,50,,40,44,,内蒙古水文总局,,d,
哈拉哈少,40558500,阴山南麓,呼和浩特市,万家沟,,降水,武川县哈拉哈少乡哈拉哈少村,110,55,,40,58,,内蒙古水文总局,,d,
新店子,40621100,晋西北支流,呼和浩特市,〃,,降水,和林格尔县新店子乡新店子村,112,06,,40,14,,内蒙古水文总局,,d,
太平窑,40621200,晋西北支流,呼和浩特市,〃,,降水,和林格尔县三道营乡太平窑村,111,54,,40,12,,内蒙古水文总局,,d,
石湾子,40621750,晋西北支流,呼和浩特市,〃,,降水,清水河县杨家窑乡石湾子村,111,53,,39,59,,内蒙古水文总局,,d,
放牛沟,40621900,晋西北支流,呼和浩特市,红河,,降水,清水河县小庙子乡放牛沟村,111,33,,39,57,,内蒙古水文总局,,d,
阳湾子,40622200,晋西北支流,呼和浩特市,〃,,降水,清水河县暖泉乡阳湾子村,111,43,,39,46,,内蒙古水文总局,,d,
乌兰沟,40623350,吴堡以上右岸,鄂尔多斯市,纳林川,,降水,准格尔旗布尔陶亥乡乌兰沟林场,110,41,,39,57,,内蒙古水文总局,,d,
德胜西,40623500,吴堡以上右岸,鄂尔多斯市,乾察板沟,,降水,准格尔旗德胜西乡德胜西村,110,35,,39,51,,内蒙古水文总局,,d,
沙圪堵,40623650,吴堡以上右岸,鄂尔多斯市,〃,,降水蒸发,准格尔旗沙圪堵镇,110,52,,39,38,,内蒙古水文总局,,d,
刘家塔,40623800,吴堡以上右岸,鄂尔多斯市,〃,,降水,准格尔旗巴润黑岱乡刘家塔村,111,04,,39,52,,内蒙古水文总局,,d,
长滩,40623950,吴堡以上右岸,鄂尔多斯市,〃,,降水,准格尔旗长滩乡长滩村,111,10,,39,36,,内蒙古水文总局,,d,
太平窑(二),40600100,晋西北支流,呼和浩特市,红河,3406,水位径流泥沙,和林格尔县三道营乡太平窑村,111,54,,40,12,,内蒙古水文总局,,d,
挡阳桥,40600200,晋西北支流,呼和浩特市,"""",4732,水位径流泥沙,清水河县小庙子乡庄窝坪村,111,37,,39,59,,内蒙古水文总局,,d,
放牛沟,40600300,晋西北支流,呼和浩特市,"""",5461,水位,清水河县小庙子乡放牛沟村,111,33,,39,57,,内蒙古水文总局,,d,
清水河,40600600,晋西北支流,呼和浩特市,清水河,541,水位径流泥沙,清水河县城关镇,111,41,,39,54,,内蒙古水文总局,,d,
沙圪堵(二),40601000,吴堡以上右岸,鄂尔多斯市,纳林川,1351,水位径流泥沙,准格尔旗沙圪堵镇,110,52,,39,38,,内蒙古水文总局,,d,
转龙湾,40701500,吴堡以上右岸,鄂尔多斯市,窟野河,1155,水位径流泥沙,伊金霍洛旗布尔台格乡巴图塔村,110,03,,39,31,,内蒙古水文总局,,d,
阿腾席热,40701000,吴堡以上右岸,鄂尔多斯市,窟野河,338,水位径流泥沙,伊金霍洛旗红海子乡瓦窑圪台村,109,47,,39,35,,内蒙古水文总局,,d,
粮库家属院,34340001,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深、简分析、水温,磴口县沙金套海苏木粮库家属院,106,44,,40,42,,一干管理局,,d,
十分场场部,34340002,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深、水温,盟农管局包尔盖农场十分场场部,106,32,,40,31,,一干管理局,,d,
包尔盖农场,34340003,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深、简分析、水温,盟农管局包尔盖农场场部,106,34,,40,33,,一干管理局,,d,
巴音毛道农场,34340004,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深、简分析、水温,阿拉善盟巴音毛道农场场部,106,25,,40,32,,一干管理局,,d,
纳林套海农场,34340005,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深、简分析、水温,盟农管局纳林套海农场场部,106,40,,40,30,,一干管理局,,d,
同兴一社,34340106,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深、简分析、水温,磴口县同兴村同兴一社中,106,48,,40,40,,一干管理局,,d,
塔布村二社,34340007,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深、简分析、水温,磴口县隆盛合镇塔布村二社,106,55,,40,38,,一干管理局,,d,
召滩村三社,34340008,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深,磴口县沙金套海苏木召滩村三社,106,59,,40,37,,一干管理局,,d,
巴彦套海农场,34340009,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深、简分析、水温,盟农管局巴彦套海农场场部,106,48,,40,34,,一干管理局,,d,
乌兰布和农场,34340110,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深、简分析、水温,盟农管局乌兰布和农场场部,106,51,,40,28,,一干管理局,,d,
一干局院内,34340111,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深,磴口县一干局院内办公楼后,106,59,,40,20,,一干管理局,,d,
兴无村四社,34340012,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深、简分析、水温,磴口县粮台乡兴无村四社,106,58,,40,17,,一干管理局,,d,
两苗树村,34340013,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深、简分析、水温,盟农管局哈腾套海农场四分场两苗树村中,107,03,,40,33,,一干管理局,,d,
东猪场,34340114,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深,磴口县补隆淖尔乡团结村二社东猪场院内,107,05,,40,31,,一干管理局,,d,
河壕村三社,34340015,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深,磴口县补隆淖尔乡河壕村三社,107,05,,40,29,,一干管理局,,d,
东堂社,34340016,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深、水温,磴口县坝楞乡新和村东堂社中,107,03,,40,25,,一干管理局,,d,
城西社,34340017,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深、简分析、水温,磴口县渡口乡城西村城西社中,107,05,,40,25,,一干管理局,,d,
东柳子社,34340018,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深,磴口县东地村东柳子社,107,05,,40,22,,一干管理局,,d,
新红村二社,34370201,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深、简分析、水温,杭锦后旗沙海乡新红村二社,106,53,,40,58,,解放闸管理局,,d,
五星村四社,34370002,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深、简分析、水温,杭锦后旗沙海乡五星村四社,106,59,,40,58,,解放闸管理局,,d,
胜利村八社,34370003,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深,杭锦后旗南渠乡胜利村八社,107,00,,40,55,,解放闸管理局,,d,
蒙海村七社,34370004,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深,杭锦后旗大树湾乡蒙海村七社,106,51,,40,54,,解放闸管理局,,d,
补隆村四社,34370005,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深、简分析、水温,杭锦后旗太阳庙乡补隆村四社,106,47,,40,53,,解放闸管理局,,d,
北临场村五社,34370006,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深,杭锦后旗三道桥镇北临场村五社,106,55,,40,53,,解放闸管理局,,d,
犁二村五社,34370007,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深、简分析、水温,杭锦后旗三道桥镇犁二村五社,106,54,,40,51,,解放闸管理局,,d,
陕杨管理段,34370208,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深、简分析、水温,杭锦后旗三道桥镇陕杨管理段院内,106,58,,40,51,,解放闸管理局,,d,
西渠村四社,34370009,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深,杭锦后旗大树湾乡西渠村四社,106,52,,40,50,,解放闸管理局,,d,
太荣村八社,34370010,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深、简分析、水温,杭锦后旗太阳庙乡太荣村八社,106,43,,40,48,,解放闸管理局,,d,
红旗村一社,34370011,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深,杭锦后旗二道桥乡红旗村一社,106,58,,40,49,,解放闸管理局,,d,
增光村三社,34370112,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深,杭锦后旗召庙乡增光村三社,106,52,,40,48,,解放闸管理局,,d,
庆丰村四社,34370013,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深,杭锦后旗二道桥乡庆丰村四社,106,59,,40,45,,解放闸管理局,,d,
总光村供销社,34370014,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深、简分析、水温,杭锦后旗召庙乡总光村供销社,106,51,,40,44,,解放闸管理局,,d,
乌拉河管理所,34370115,内蒙黄河以北引黄灌区,巴彦淖尔盟,,,埋深,杭锦后旗召庙乡乌拉河管理所院内,106,54,,40,43,,解放闸管理局,,d,
