OID_,NAME_PY,NAME_CH,NAME_FT,PRES_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,DYN_PY,DYN_CH,LEV1_PY,LEV1_CH,NOTE_ID,OBJ_TYPE,SYS_ID,GEO_SRC,COMPILER,GEOCOMP,CHECKER,ENT_DATE,X_COORD,Y_COORD,AREA
,Yongshun Xian,永顺府,永顺府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南,0.000000000000000,POLYGON,1946,FROM_FD,满志敏,满志敏, ,2002/10/11,109.971209999999999,29.095040000000001,13144.7998047
,Chenzhou Fu,辰州府,辰州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南,0.000000000000000,POLYGON,1944,FROM_FD,满志敏,满志敏, ,2002/10/11,110.385390000000001,28.150700000000001,12745.7001953
,Yuanzhou Fu,沅州府,沅州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南,0.000000000000000,POLYGON,1934,FROM_FD,满志敏,满志敏, ,2002/10/11,109.904610000000005,27.509509999999999,8037.8901367
,Jing Zhou,靖州,靖州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南,0.000000000000000,POLYGON,1932,FROM_FD,满志敏,满志敏, ,2002/10/11,109.900220000000004,26.511040000000001,10025.5996094
,Hengzhou Fu,衡州府,衡州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南,0.000000000000000,POLYGON,1940,FROM_FD,满志敏,满志敏, ,2002/10/11,113.048969999999997,26.755980000000001,16999.3007813
,Yongzhou Fu,永州府,永州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南,0.000000000000000,POLYGON,1937,FROM_FD,满志敏,满志敏, ,2002/10/11,111.662030000000001,25.853809999999999,22237.6992188
,Guiyang Zhou,桂阳州,桂陽州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南,0.000000000000000,POLYGON,1938,FROM_FD,满志敏,满志敏, ,2002/10/11,112.421890000000005,25.612359999999999,6845.1201172
,Chen Zhou,郴州,郴州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Hunan,湖南,0.000000000000000,POLYGON,1939,FROM_FD,满志敏,满志敏, ,2002/10/11,113.426800000000000,25.692409999999999,12901.0996094
,Shaozhou Fu,韶州府,韶州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东,0.000000000000000,POLYGON,2055,FROM_FD,满志敏,满志敏, ,2002/10/31,113.530630000000002,24.682020000000001,17557.6992188
,Nanxiong Zhou,南雄州,南雄州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东,0.000000000000000,POLYGON,2052,FROM_FD,满志敏,满志敏, ,2002/10/31,114.304460000000006,24.968299999999999,4448.0498047
,Lian Zhou,连州,連州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东,0.000000000000000,POLYGON,2054,FROM_FD,满志敏,满志敏, ,2002/10/31,112.514859999999999,24.588809999999999,6037.6000977
,Huizhou Fu,惠州府,惠州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东,0.000000000000000,POLYGON,2046,FROM_FD,满志敏,满志敏, ,2002/10/31,114.967630000000000,23.663940000000000,32415.0000000
,Jiaying Zhou,嘉应州,嘉應州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东,0.000000000000000,POLYGON,2057,FROM_FD,满志敏,满志敏, ,2002/10/31,115.935029999999998,24.155729999999998,10716.9003906
,Guangzhou Fu,广州府,廣州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东,0.000000000000000,POLYGON,2059,FROM_FD,满志敏,满志敏, ,2002/10/31,113.430530000000005,22.941150000000000,28759.5000000
,Gaozhou Fu,高州府,高州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东,0.000000000000000,POLYGON,2047,FROM_FD,满志敏,满志敏, ,2002/10/31,110.711190000000002,21.786770000000001,15657.9003906
,Luoding Zhou,罗定州,羅定州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Guangdong,广东,0.000000000000000,POLYGON,2051,FROM_FD,满志敏,满志敏, ,2002/10/31,111.687650000000005,22.713909999999998,6917.8701172
